cluster	interval	mean	lower	upper
Cluster 161	COVID-19 lockdown	0.780	0.132	2.150
Cluster 161	Post-lockdown	2.656	0.891	4.907
Cluster 161	PrEP rollout	3.205	1.704	5.266
Cluster 168	COVID-19 lockdown	1.382	0.557	2.477
Cluster 168	Post-lockdown	0.696	0.107	1.931
Cluster 168	PrEP rollout	2.592	1.425	4.115
Cluster 37	Before PrEP	2.188	1.247	3.411
Cluster 37	PrEP rollout	1.237	0.240	3.022
