interval	mean	lower	upper
Re Before PrEP	1.308	1.088	1.550
Re COVID-19 lockdown	1.152	0.605	1.831
Re Post-lockdown	1.656	0.858	2.580
Re PrEP rollout	1.560	1.162	2.016
